,index,Pincode,Districtname,StateName
0,0,110003,SOUTH EAST DELHI,DELHI
1,2,110014,SOUTH EAST DELHI,DELHI
2,3,110020,SOUTH EAST DELHI,DELHI
3,4,110025,SOUTH EAST DELHI,DELHI
4,5,110036,NORTH DELHI,DELHI
5,6,110039,NORTH DELHI,DELHI
6,10,110040,NORTH WEST DELHI,DELHI
7,13,110042,NORTH DELHI,DELHI
8,15,110044,SOUTH EAST DELHI,DELHI
9,20,110046,WEST DELHI,DELHI
10,30,110049,SOUTH EAST DELHI,DELHI
11,31,110054,NORTH DELHI,DELHI
12,33,110056,NORTH WEST DELHI,DELHI
13,34,110062,SOUTH DELHI,DELHI
14,35,110071,SOUTH WEST DELHI,DELHI
15,36,110076,SOUTH EAST DELHI,DELHI
16,38,110085,NORTH WEST DELHI,DELHI
17,40,110086,NORTH WEST DELHI,DELHI
18,42,110090,NORTH EAST DELHI,DELHI
19,44,121001,FARIDABAD,HARYANA
20,45,121002,FARIDABAD,HARYANA
21,64,121003,FARIDABAD,HARYANA
22,72,121004,FARIDABAD,HARYANA
23,269,121005,FARIDABAD,HARYANA
24,270,121006,FARIDABAD,HARYANA
25,271,121007,FARIDABAD,HARYANA
26,272,121008,FARIDABAD,HARYANA
27,273,121009,FARIDABAD,HARYANA
28,274,121010,FARIDABAD,HARYANA
29,275,121012,FARIDABAD,HARYANA
30,276,121013,FARIDABAD,HARYANA
31,277,121101,FARIDABAD,HARYANA
32,449,121102,FARIDABAD,HARYANA
33,586,121103,FARIDABAD,HARYANA
34,660,121105,FARIDABAD,HARYANA
35,696,121106,FARIDABAD,HARYANA
36,724,121107,FARIDABAD,HARYANA
37,776,122001,MAHENDRAGARH,HARYANA
38,784,122002,GURGAON,HARYANA
39,786,122003,GURGAON,HARYANA
40,796,122004,GURGAON,HARYANA
41,812,122005,GURGAON,HARYANA
42,813,122006,GURGAON,HARYANA
43,829,122007,GURGAON,HARYANA
44,830,122008,GURGAON,HARYANA
45,831,122009,GURGAON,HARYANA
46,832,122010,GURGAON,HARYANA
47,833,122011,GURGAON,HARYANA
48,834,122015,GURGAON,HARYANA
49,836,122016,GURGAON,HARYANA
50,837,122017,GURGAON,HARYANA
51,840,122018,GURGAON,HARYANA
52,842,122051,GURGAON,HARYANA
53,850,122052,GURGAON,HARYANA
